pattern_NC_SCS_SCD_MCI_AD	n	stages
00001	1529329	AD
00100	1419270	SCD
10000	1378566	NC
01000	1357002	SCS
00010	1033801	MCI
10100	93439	NC+SCD
00101	81585	SCD+AD
11000	78795	NC+SCS
00011	73581	MCI+AD
10010	73354	NC+MCI
00110	73284	SCD+MCI
01001	67172	SCS+AD
10001	65015	NC+AD
01100	63215	SCS+SCD
01010	47794	SCS+MCI
11111	36851	NC+SCS+SCD+MCI+AD
11001	21160	NC+SCS+AD
11100	21054	NC+SCS+SCD
10011	20581	NC+MCI+AD
10110	18707	NC+SCD+MCI
10101	18423	NC+SCD+AD
00111	17257	SCD+MCI+AD
01101	17084	SCS+SCD+AD
01110	14598	SCS+SCD+MCI
10111	14110	NC+SCD+MCI+AD
11101	13949	NC+SCS+SCD+AD
11010	13907	NC+SCS+MCI
01111	13288	SCS+SCD+MCI+AD
01011	11820	SCS+MCI+AD
11110	11784	NC+SCS+SCD+MCI
11011	9046	NC+SCS+MCI+AD
