metric	NC_specific	AD_specific	core5	late_only_MCI_AD	early_only_NC_SCS
n_peptides	1437291	3092822	81349	257518	71298
n_sampled_for_features	300000	300000	81349	257518	71298
length_mean	16.32	16.35	8.08	14.41	13.70
length_median	13	13	5	12	11
net_charge_mean	3.34	3.44	2.18	3.12	2.97
cationic_frac(charge>=2)	0.764	0.771	0.623	0.739	0.725
hydrophobic_frac_mean	0.342	0.337	0.351	0.339	0.346
eisenberg_H_mean	-0.210	-0.226	-0.321	-0.236	-0.231
aa_A_pct	5.44	5.74	4.82	5.78	4.91
aa_C_pct	8.07	8.21	7.28	8.16	7.86
aa_D_pct	1.20	1.12	0.57	1.00	1.09
aa_E_pct	1.52	1.46	0.94	1.38	1.57
aa_F_pct	3.77	3.64	3.69	3.48	3.85
aa_G_pct	6.59	6.52	4.83	6.28	5.70
aa_H_pct	2.88	2.78	2.72	2.67	2.83
aa_I_pct	5.32	5.08	5.75	5.23	5.69
aa_K_pct	8.19	7.70	9.56	7.76	8.65
aa_L_pct	7.65	7.45	10.49	7.53	8.43
aa_M_pct	0.65	0.60	0.39	0.59	0.61
aa_N_pct	2.85	2.74	1.93	2.58	2.74
aa_P_pct	6.88	7.17	7.16	7.49	6.56
aa_Q_pct	3.40	3.29	3.25	3.09	3.38
aa_R_pct	14.70	15.64	18.63	16.00	15.39
aa_S_pct	7.89	8.02	7.07	8.06	8.00
aa_T_pct	3.41	3.43	2.47	3.36	3.27
aa_V_pct	3.44	3.42	2.99	3.31	3.48
aa_W_pct	3.65	3.57	3.63	3.88	3.63
aa_Y_pct	2.49	2.40	1.84	2.35	2.35
cliffs_delta_length_vs_NC_specific	ref	-0.003	0.711	0.152	0.197
cliffs_delta_charge_vs_NC_specific	ref	-0.018	0.314	0.056	0.087
cliffs_delta_hydrophobic_frac_vs_NC_specific	ref	0.019	-0.021	0.012	-0.014
cliffs_delta_eisenberg_H_vs_NC_specific	ref	0.024	0.127	0.037	0.028
