pattern_NC_SCS_SCD_MCI_AD	n	stages
00001	3092822	AD
00010	2295957	MCI
00100	2044126	SCD
01000	1803443	SCS
10000	1437291	NC
00011	257518	MCI+AD
00101	174495	SCD+AD
00110	161935	SCD+MCI
01001	160689	SCS+AD
10001	120517	NC+AD
01010	118876	SCS+MCI
10010	113340	NC+MCI
01100	111616	SCS+SCD
10100	91097	NC+SCD
11111	81349	NC+SCS+SCD+MCI+AD
11000	71298	NC+SCS
00111	63386	SCD+MCI+AD
01111	52922	SCS+SCD+MCI+AD
10011	50462	NC+MCI+AD
01011	47718	SCS+MCI+AD
01110	46151	SCS+SCD+MCI
01101	36819	SCS+SCD+AD
10101	32225	NC+SCD+AD
10111	32167	NC+SCD+MCI+AD
10110	30069	NC+SCD+MCI
11011	28336	NC+SCS+MCI+AD
11001	27012	NC+SCS+AD
11010	24989	NC+SCS+MCI
11100	21692	NC+SCS+SCD
11101	18138	NC+SCS+SCD+AD
11110	17167	NC+SCS+SCD+MCI
