metric	AD_specific	NC_specific	shared
n_peptides	3886369	1806943	390206
n_sampled_for_features	300000	300000	300000
length_mean	15.74	15.75	11.52
length_median	13	13	9
net_charge_mean	3.34	3.24	2.59
cationic_frac(charge>=2)	0.760	0.754	0.671
hydrophobic_frac_mean	0.339	0.342	0.346
eisenberg_H_mean	-0.228	-0.212	-0.250
aa_A_pct	5.70	5.37	5.17
aa_C_pct	8.17	8.05	7.83
aa_D_pct	1.11	1.17	0.91
aa_E_pct	1.45	1.51	1.29
aa_F_pct	3.62	3.77	3.65
aa_G_pct	6.42	6.52	5.87
aa_H_pct	2.77	2.91	2.85
aa_I_pct	5.13	5.34	5.49
aa_K_pct	7.77	8.22	8.31
aa_L_pct	7.60	7.77	8.72
aa_M_pct	0.60	0.64	0.55
aa_N_pct	2.70	2.81	2.42
aa_P_pct	7.19	6.91	7.40
aa_Q_pct	3.28	3.41	3.32
aa_R_pct	15.71	14.78	16.05
aa_S_pct	7.98	7.86	7.68
aa_T_pct	3.39	3.35	3.09
aa_V_pct	3.41	3.43	3.37
aa_W_pct	3.61	3.68	3.84
aa_Y_pct	2.38	2.49	2.20
cliffs_delta_length_vs_AD_specific	ref	0.002	0.351
cliffs_delta_charge_vs_AD_specific	ref	0.011	0.176
cliffs_delta_hydrophobic_frac_vs_AD_specific	ref	-0.023	-0.024
cliffs_delta_eisenberg_H_vs_AD_specific	ref	-0.021	0.030
