metric	NC_specific	AD_specific	core5	late_only_MCI_AD	early_only_NC_SCS
n_peptides	1378566	1529329	36851	73581	78795
n_sampled_for_features	300000	300000	36851	73581	78795
length_mean	16.03	15.96	7.39	13.88	13.18
length_median	13	13	5	11	11
net_charge_mean	3.32	3.38	2.15	2.98	2.82
cationic_frac(charge>=2)	0.763	0.764	0.637	0.726	0.707
hydrophobic_frac_mean	0.342	0.339	0.352	0.343	0.346
eisenberg_H_mean	-0.213	-0.226	-0.360	-0.229	-0.231
aa_A_pct	5.52	5.68	4.63	5.81	4.97
aa_C_pct	8.10	8.31	6.90	8.03	8.01
aa_D_pct	1.15	1.11	0.48	0.99	1.06
aa_E_pct	1.48	1.44	0.81	1.36	1.55
aa_F_pct	3.77	3.65	3.68	3.56	3.83
aa_G_pct	6.49	6.35	4.64	6.34	5.70
aa_H_pct	2.88	2.81	2.72	2.69	2.93
aa_I_pct	5.35	5.21	5.74	5.24	5.62
aa_K_pct	8.20	7.84	9.65	7.94	8.29
aa_L_pct	7.68	7.60	11.37	7.87	8.48
aa_M_pct	0.63	0.60	0.30	0.59	0.60
aa_N_pct	2.84	2.80	1.63	2.54	2.71
aa_P_pct	6.89	6.92	7.16	7.51	6.59
aa_Q_pct	3.34	3.33	3.19	3.17	3.41
aa_R_pct	14.84	15.58	20.51	15.60	15.44
aa_S_pct	7.86	7.97	6.84	7.87	7.92
aa_T_pct	3.41	3.43	2.08	3.24	3.28
aa_V_pct	3.44	3.43	2.74	3.46	3.62
aa_W_pct	3.67	3.49	3.25	3.80	3.63
aa_Y_pct	2.46	2.45	1.67	2.39	2.36
cliffs_delta_length_vs_NC_specific	ref	0.012	0.762	0.171	0.210
cliffs_delta_charge_vs_NC_specific	ref	-0.012	0.313	0.076	0.107
cliffs_delta_hydrophobic_frac_vs_NC_specific	ref	0.012	-0.026	-0.004	-0.014
cliffs_delta_eisenberg_H_vs_NC_specific	ref	0.022	0.162	0.021	0.025
