metric	AD_specific	NC_specific	shared
n_peptides	1811116	1689606	199135
n_sampled_for_features	300000	300000	199135
length_mean	15.42	15.46	10.55
length_median	13	13	7
net_charge_mean	3.28	3.22	2.43
cationic_frac(charge>=2)	0.755	0.751	0.653
hydrophobic_frac_mean	0.340	0.343	0.351
eisenberg_H_mean	-0.228	-0.216	-0.256
aa_A_pct	5.62	5.44	4.67
aa_C_pct	8.25	8.04	7.47
aa_D_pct	1.10	1.14	0.86
aa_E_pct	1.43	1.48	1.25
aa_F_pct	3.67	3.77	3.74
aa_G_pct	6.29	6.41	5.76
aa_H_pct	2.81	2.86	2.85
aa_I_pct	5.23	5.37	5.82
aa_K_pct	7.93	8.27	8.93
aa_L_pct	7.76	7.76	9.36
aa_M_pct	0.59	0.63	0.53
aa_N_pct	2.78	2.82	2.44
aa_P_pct	6.93	6.92	7.28
aa_Q_pct	3.34	3.37	3.34
aa_R_pct	15.61	14.90	15.90
aa_S_pct	7.94	7.86	7.47
aa_T_pct	3.37	3.36	2.92
aa_V_pct	3.43	3.45	3.38
aa_W_pct	3.51	3.70	3.76
aa_Y_pct	2.43	2.44	2.24
cliffs_delta_length_vs_AD_specific	ref	-0.002	0.424
cliffs_delta_charge_vs_AD_specific	ref	0.007	0.214
cliffs_delta_hydrophobic_frac_vs_AD_specific	ref	-0.013	-0.028
cliffs_delta_eisenberg_H_vs_AD_specific	ref	-0.011	0.033
